NAME,ID,TITLE
? ishah ??eena,https://www.facebook.com/profile.php?id=100008644566179&fref=ufi&rc=p,mashaallah
?† Jj ??,https://www facebook com/saima jan 9484941?fref=ufi&rc=p,im frm kashmir we want join turkish army
?? ??? ????,https://www.facebook.com/sharjeel.kalam?fref=ufi&rc=p,not talibaans they are americans
?? ??? ????,https://www.facebook.com/sharjeel.kalam?fref=ufi&rc=p,shakeel zardari zindabad now happy
?? ????,https://www facebook com/profile php?id=100011244947230&fref=ufi&rc=p,bashir
??? ??,https://www.facebook.com/profile.php?id=100023372494533&fref=ufi&rc=p,publicity stunt ha
??? ??,https://www.facebook.com/habibullah.hamdard?fref=ufi&rc=p,whatever propaganda you carry on will hit you back the 2001 pakistan and today s pakistan is nothing more than a failed state better hold on your own horse since india overpassed you in all aspects and you do not have the guts to compete them turnsee more
??? ?? ?????,https://www.facebook.com/LuShPuSh?fref=ufi&rc=p,en mai yeeh chezy amm haintv pay na bi nashar karen to enhy kia fark parygabhurky ki had hai warna saudi khawateen europe walo say 6 hath agy hain
??? ???,https://www.facebook.com/proton.engr777?fref=ufi&rc=p,government should stop do more manthra what the hell are they doing with pakistani tribal agencies most of innocent are being suffered of this war on terrorismreal enemy of pakistan is us which is giving fund and ammunition to taliban and to destablize the regionnow what kind of war it is i have never heard such kind of war
??? ???,https://www.facebook.com/proton.engr777?fref=ufi&rc=p,now this is called a collateral damage stupid attacker or bomb plotter don t even know that this explosive device can take innocent lives coward attack totally condemned
??? ???,https://www facebook com/profile php?id=100014037723349&fref=ufi&rc=p,sarah and a e to the
??? ??? ???,https://www.facebook.com/rehman.punjabi.52?fref=ufi&rc=p,mary wattan ki shan pak army salam
??? ??? ???,https://www facebook com/jalbani6?fref=ufi&rc=p,mazahib fsad ki jarr
??? ??? ????,https://www facebook com/profile php?id=100008005927240&fref=ufi&rc=p,abhi kuch din pehly hyderabad main khoob barish hoe magar ye weather department ny khuwab main bhi nhe socha tha sab us sohny rab sain k kaam hain jo bardasht sy ziada garmi nhe dy ga
??? ????,https://www.facebook.com/assad.hazara?fref=ufi&rc=p,at least five innocent people shot dead including a woman many injured in 3 separate attacks on hazaras in less than 24 hours the media is silent while the ghairatmand pakistanis are taking care of meera s abortion
??? ????,https://www.facebook.com/khushikidua?fref=ufi&rc=p,bht afsos nak hay pata nahi ya kiu nahi samjty k haram mot mar k be gunahon ko mar k un k ghr wiran kar rahy hain allah hidayat day or shaheed police mans ko janatulfirdos main jaga ata farmay or zakhmio ko jal az jal sehtiyabi ata farmay or humary mulk or hum sub ko apni anam o hifazat main rakhy ameen
??? ????,https://www.facebook.com/mambo.italiano1?fref=ufi&rc=p,it s just nonsense elected oe non elected he is simply a technical minister real problem is the quantity of ministers in our country
??? ????,https://www facebook com/ume aimann?fref=ufi&rc=p,kay edhi ki b asy hi news chalti thi if u wan real philontrop stp advertising what u r becoming
??? ????,https://www.facebook.com/profile.php?id=100009512573654&fref=ufi&rc=p,mam anam hameed your voice
??? ????,https://www.facebook.com/zubair.malik2?fref=ufi&rc=p,stop killing innocents
??? ????,https://www facebook com/mir mohtaram?fref=ufi&rc=p,tears were about to come in my eyes then two bloody bad faces with bad voices came to ruin the feel by saying something which was of no need in this out of the world gem
??? ????,https://www.facebook.com/Ahmad.Nasir786?fref=ufi&rc=p,wtf thats how he has 3 child oh my god
??? ????,https://www.facebook.com/sajid0240?fref=ufi&rc=p,ya allah kher
??? ???? ???,https://www.facebook.com/sayedhaidergillani?fref=ufi&rc=p,afghan taliban are freedom fighters and even russia and iran recognise them as legitimate owners of afghanistan instead of american pet regime its time pakistan should recognize legitimacy of at
??? ???? ???,https://www.facebook.com/sayedhaidergillani?fref=ufi&rc=p,afghan taliban are recognized by iran russia qatar turkey its about time pakistan too should recognize them and give america some hard lesson
??? ???? ???,https://www.facebook.com/sayedhaidergillani?fref=ufi&rc=p,pakistan stands firm with afghan taliban just like iran and russia does desi libtards may keep bitching
??? ???? ????,https://www.facebook.com/ally.w.syed?fref=ufi&rc=p,hassan khan yousufzaiyes zyn is more important because he is not supporting taliban and dividing people on language and religious belifssee more
??? ???? ????,https://www facebook com/emo guy92?fref=ufi&rc=p,more endies killed plz
??? ???? ????,https://www.facebook.com/ally.w.syed?fref=ufi&rc=p,she is better than malalajust one very simple differenceher contribution is tangible
??? ???? ?????,https://www facebook com/hasanjs?fref=ufi&rc=p,100 its endian nasty work through its bastard afghani puppets but what we can do when we have modi s son as our pm
??? ???? ?????? ????,https://www.facebook.com/tahirabbas.shekhanasial?fref=ufi&rc=p,thanks samaa tv
??? ???? ???????,https://www.facebook.com/profile.php?id=100002219832602&fref=ufi&rc=p,it doesn t matter it s fake or not but the decision to end the game will bring good for everyone and give pak an opportunity to recover it s lost image now americans should force their govt to withdraw their troops from afghanistan and to bring peace in this region
??? ?????,https://www.facebook.com/hassan.altaf?fref=ufi&rc=p,as if he has exposed those behind bb s murder
??? ?????,https://www.facebook.com/hassan.altaf?fref=ufi&rc=p,because this happened in punjab and nisar is after pmln in punjan
??? ?????,https://www.facebook.com/hassan.altaf?fref=ufi&rc=p,since he was a muslim he is a terrorist what about the one who killed 59 or so individuals in las vegas recently
??? ?????,https://www.facebook.com/hassan.altaf?fref=ufi&rc=p,the whole episode of targeting sharif family only under the pretext of accountability is wrong and shameful too this seems like vendetta and not accountability
??? ?????,https://www.facebook.com/abu.hamdan.6484?fref=ufi&rc=p,there is no any place in society for criminal please hate the crime
??? ??????,https://www.facebook.com/bharatoms?fref=ufi&rc=p,sad
??? ???????,https://www.facebook.com/sangra1?fref=ufi&rc=p,and creators of this unending conflict are enjoying life in europe america leaving pakistani public to suffer
??? ????????,https://www.facebook.com/profile.php?id=100025638764967&fref=ufi&rc=p,trump go home
??? M?h?mm?? B?¢hç,https://www.facebook.com/lbrohi?fref=ufi&rc=p,may all protect all the pilgrims and make it easy for them to perform hajj
???? ???,https://www.facebook.com/profile.php?id=100004240205252&fref=ufi&rc=p,aam logo ko shaheed kar ki taliban ka name deya jaa raha hy
???? ???,https://www.facebook.com/rahat.shah.7370?fref=ufi&rc=p,ham kahan k muslaman hay sirf aik hi cheez reh gai hay or woh ishq e rasool hayagar us pay bhi ham khamosh rahain tu phr kya faraq hay ham main or yahodi and esaiyo mainmain or koch nahi kehna chahta abh app ki marzi jis ko teekh kahian ya ghalt
???? ???,https://www.facebook.com/haider.alee.16?fref=ufi&rc=p,khud khash hamla awaar shaheed or 5 bache jahan bhaq according to jamiat harami ameer munwar hassan 
???? ???,https://www.facebook.com/Ashi.ADLR?fref=ufi&rc=p,they re free citizens of this country they have right of peaceful protest our government allowed lockdown by tehteek e labayk then wy not pmt
???? ???,https://www.facebook.com/sumballsheikh?fref=ufi&rc=p,v sad
???? ???,https://www.facebook.com/sumballsheikh?fref=ufi&rc=p,v sad rip
???? ??? ??,https://www.facebook.com/faisal.rana.5?fref=ufi&rc=p,m supporting qalandars but queta is having best squadkpwatsonrossowroy
???? ??? ??,https://www.facebook.com/faisal.rana.5?fref=ufi&rc=p,mcculam is not important dawn walo sport s per mj rakh lo
???? ??? ?? ?????,https://www.facebook.com/omerbinmuhammad786?fref=ufi&rc=p,gud work
???? ??? ?????,https://www facebook com/profile php?id=100011665266996&fref=ufi&rc=p,asdh
???? ??? ?????,https://www.facebook.com/abid.razasoomro?fref=ufi&rc=p,joht ki siwa or karti hain kia hain malik je
???? ????,https://www facebook com/afaq arif 71?fref=ufi&rc=p,http weeklyyouthpay comref=392964
???? ????,https://www.facebook.com/tahir.saeed.6209?fref=ufi&rc=p,plz like my page https wwwfacebookcompagesspcialistlaptop252318644927692
???? ????,https://www.facebook.com/arrogant999?fref=ufi&rc=p,result of the match messi 0 vs panama 3
???? ????,https://www.facebook.com/profile.php?id=100010277280982&fref=ufi&rc=p,rip
???? ???? ???,https://www facebook com/waqaar baig?fref=ufi&rc=p,why isis is attacking islamic countries can anyone answer why isn t it targeting israel if it is jihad in syria why not in palestine
???? ???? ??? ??,https://www.facebook.com/bhachid?fref=ufi&rc=p,mussadiqsala randi ki aulad
???? ???? ????,https://www.facebook.com/mohammad.farazahmad.3?fref=ufi&rc=p,how s about factory of rapers
???? ???? ????,https://www.facebook.com/shafqatmurad?fref=ufi&rc=p,why every time suicide or simple blast takes away lives of the innocent people when top american or european official are in islamabad to discuss the war on terror
???? ???? ???????,https://www.facebook.com/profile.php?id=100012625065602&fref=ufi&rc=p,180 soldiers killed 234 were injured by isi and pakistanis devils by pakistani axis of evil
???? ???? ???????,https://www facebook com/mnure kidre?fref=ufi&rc=p,xxxx
